publication_month,sum_month_KK,sum_month_KP
2021-05,0,2
2021-06,0,8
2021-07,0,3
2021-08,0,25
2021-09,0,34
2021-10,0,45
2021-11,0,11
2021-12,0,5
2022-01,0,5
2022-02,0,26
2022-03,0,10
2022-04,0,2
2022-05,0,8
2022-06,0,8
2022-07,0,17
2022-08,0,40
2022-09,0,20
2022-10,4,29
2022-11,79,208
2022-12,93,63
2023-01,40,113
2023-02,68,21
2023-03,82,49
2023-04,156,124
2023-05,144,110
2023-06,79,95
2023-07,115,74
2023-08,47,36
2023-09,115,93
2023-10,47,27
2023-11,27,12
2023-12,26,36
2024-01,30,19
2024-02,21,6
